nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
0,112.5,0.0,5625.0,0.0,0.14814814814814817,11.111111111111112,787.5,795.4951288348659,0.0,0.0,0.0,0.0,5625.0,632812.5,0.0,0.0,7.0,0.42857142857142855,0.0,None
1,112.5,0.0,5625.0,0.0,0.14814814814814817,11.111111111111112,787.5,795.4951288348659,0.0,0.0,0.0,0.0,5625.0,632812.5,0.0,0.0,7.0,0.42857142857142855,0.0,None
2,112.5,0.0,5625.0,0.0,0.14814814814814817,11.111111111111112,787.5,795.4951288348659,0.0,0.0,0.0,0.0,5625.0,632812.5,0.0,0.0,7.0,0.42857142857142855,0.0,None
3,112.5,0.0,5625.0,0.0,0.14814814814814817,11.111111111111112,787.5,795.4951288348659,0.0,0.0,0.0,0.0,5625.0,632812.5,0.0,0.0,7.0,0.42857142857142855,0.0,None
4,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
5,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
6,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
7,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
8,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
9,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
10,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
11,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
12,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
13,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
14,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
15,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
16,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
17,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
18,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
19,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
20,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
21,92.50000000000001,0.0,1636.2712429686849,0.0,0.18018018018018017,4.926183738201062,330.1609456007783,333.5129193103902,0.0,0.0,0.0,0.0,1636.2712429686849,111230.86734693885,0.0,0.0,3.5693075200084134,0.8404991677469497,0.0,None
