nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
0,128775.00000000004,3764.8434575836404,4876875.0,1875.0,0.00012942470717659997,0.06189315608077184,684762.6340565028,691714.7172064506,1998.6071786049033,2199.237987752056,3764.8434575836404,12962.692201055539,4875000.0,478469250000.0,10763.454213303483,5381.727106651741,5.31751220389441,0.5476795183837436,0.09269618289216071,None
1,128775.00000000004,3764.8434575836404,4876875.0,1875.0,0.00012942470717659997,0.06189315608077184,684762.6340565028,691714.7172064506,1998.6071786049033,2199.237987752056,3764.8434575836404,12962.692201055539,4875000.0,478469250000.0,10763.454213303483,5381.727106651741,5.31751220389441,0.5476795183837436,0.09269618289216071,None
2,128775.00000000004,3764.8434575836404,4876875.0,1875.0,0.00012942470717659997,0.06189315608077184,684762.6340565028,691714.7172064506,1998.6071786049033,2199.237987752056,3764.8434575836404,12962.692201055539,4875000.0,478469250000.0,10763.454213303483,5381.727106651741,5.31751220389441,0.5476795183837436,0.09269618289216071,None
3,128775.00000000004,3764.8434575836404,4876875.0,1875.0,0.00012942470717659997,0.06189315608077184,684762.6340565028,691714.7172064506,1998.6071786049033,2199.237987752056,3764.8434575836404,12962.692201055539,4875000.0,478469250000.0,10763.454213303483,5381.727106651741,5.31751220389441,0.5476795183837436,0.09269618289216071,None
4,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
5,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
6,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
7,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
8,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
9,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
10,19974.999999999996,734.3129478836164,716075.0,326.2864329905821,0.0008343763037129748,0.17738362619518033,100764.67138833927,101787.68920389826,356.75774369160837,423.22480772246814,734.3129478836164,2246.8666481829605,715748.7135670094,10360733673.469387,1823.6418404604924,911.8209202302462,5.044539243471303,0.5728402659488937,0.0906142078165599,None
