nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
0,0,0,0,0,0,0,0,0,0,0,None
1,0,0,0,0,0,0,0,0,0,0,None
2,0,0,0,0,0,0,0,0,0,0,None
3,0,0,0,0,0,0,0,0,0,0,None
4,0,0,0,0,0,0,0,0,0,0,None
5,0,0,0,0,0,0,0,0,0,0,None
6,0,0,0,0,0,0,0,0,0,0,None
7,0,0,0,0,0,0,0,0,0,0,None
8,0,0,0,0,0,0,0,0,0,0,None
9,0,0,0,0,0,0,0,0,0,0,None
10,0,0,0,0,0,0,0,0,0,0,None
11,0,0,0,0,0,0,0,0,0,0,None
12,0,0,0,0,0,0,0,0,0,0,None
13,0,0,0,0,0,0,0,0,0,0,None
14,0,0,0,0,0,0,0,0,0,0,None
15,0,0,0,0,0,0,0,0,0,0,None
16,0,0,0,0,0,0,0,0,0,0,None
17,0,0,0,0,0,0,0,0,0,0,None
18,0,0,0,0,0,0,0,0,0,0,None
19,0,0,0,0,0,0,0,0,0,0,None
20,0,0,0,0,0,0,0,0,0,0,None
21,0,0,0,0,0,0,0,0,0,0,None
22,0,0,0,0,0,0,0,0,0,0,None
23,0,0,0,0,0,0,0,0,0,0,None
24,0,0,0,0,0,0,0,0,0,0,None
25,0,0,0,0,0,0,0,0,0,0,None
26,0,0,0,0,0,0,0,0,0,0,None
27,0,0,0,0,0,0,0,0,0,0,None
28,0,0,0,0,0,0,0,0,0,0,None
29,0,0,0,0,0,0,0,0,0,0,None
30,0,0,0,0,0,0,0,0,0,0,None
31,0,0,0,0,0,0,0,0,0,0,None
32,0,0,0,0,0,0,0,0,0,0,None
33,0,0,0,0,0,0,0,0,0,0,None
34,0,0,0,0,0,0,0,0,0,0,None
35,0,0,0,0,0,0,0,0,0,0,None
36,0,0,0,0,0,0,0,0,0,0,None
37,0,0,0,0,0,0,0,0,0,0,None
38,0,0,0,0,0,0,0,0,0,0,None
39,0,0,0,0,0,0,0,0,0,0,None
40,0,0,0,0,0,0,0,0,0,0,None
41,0,0,0,0,0,0,0,0,0,0,None
42,0,0,0,0,0,0,0,0,0,0,None
43,0,0,0,0,0,0,0,0,0,0,None
44,0,0,0,0,0,0,0,0,0,0,None
45,0,0,0,0,0,0,0,0,0,0,None
46,0,0,0,0,0,0,0,0,0,0,None
47,0,0,0,0,0,0,0,0,0,0,None
