nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
0,50.0,0.0,2500.0,0.0,0.33333333333333337,16.666666666666668,350.0,353.5533905932738,0.0,0.0,0.0,0.0,2500.0,125000.0,0.0,0.0,7.0,0.42857142857142855,nan,None
1,50.0,0.0,2500.0,0.0,0.33333333333333337,16.666666666666668,350.0,353.5533905932738,0.0,0.0,0.0,0.0,2500.0,125000.0,0.0,0.0,7.0,0.42857142857142855,nan,None
2,50.0,0.0,2500.0,0.0,0.33333333333333337,16.666666666666668,350.0,353.5533905932738,0.0,0.0,0.0,0.0,2500.0,125000.0,0.0,0.0,7.0,0.42857142857142855,nan,None
3,50.0,0.0,2500.0,0.0,0.33333333333333337,16.666666666666668,350.0,353.5533905932738,0.0,0.0,0.0,0.0,2500.0,125000.0,0.0,0.0,7.0,0.42857142857142855,nan,None
4,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
5,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
6,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
7,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
8,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
9,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
10,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
11,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
12,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
13,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
14,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
15,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
16,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
17,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
18,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
19,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
20,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
21,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
22,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
23,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
24,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
25,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
26,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
27,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
28,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
29,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
30,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
31,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
32,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
33,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
34,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
35,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
36,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
37,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
38,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
39,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
40,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
41,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
42,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
43,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
44,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
45,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
46,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
47,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
48,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
49,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
50,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
51,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
52,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
53,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
54,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
55,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
56,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
57,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
58,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
59,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
60,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
61,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
62,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
63,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
64,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
65,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
66,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
67,49.99999999999999,0.0,950.0,0.0,0.3333333333333334,3.8910976041657603,158.11388300841898,159.71914124998497,0.0,0.0,0.0,0.0,950.0,25510.20408163265,0.0,0.0,3.16227766016838,0.9486832980505135,0.0,None
